ST QUENTIN;;Verre Couleur;2525;MORCOURT;MORCOURT;Rue du Commandant Guy (terrain de foot);128;P>25746;3;0,857;;;06/02/2013;09:41
ST QUENTIN;;Verre Couleur;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;Rue de la Fere;127;P>25786;4;0,805;;;14/02/2013;07:15
ST QUENTIN;;Verre Couleur;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;Vallée des Bourguignon;185;P>26943;3;0,685;;;21/02/2013;07:02
ST QUENTIN;;Verre Couleur;2549;NEUVILLE ST AMAND;NEUVILLE ST AMAND;Place de la Mairie;129;P>25788;3;0,719;;;21/02/2013;09:10
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;181;P>25750;4;0,9;;;07/02/2013;10:14
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;181;P>31032;3;0,726;;;13/02/2013;09:10
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Rue du Fossé;130;P>25748;3;0,65;;;21/02/2013;08:24
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;181;P>25750;4;0,962;;;21/02/2013;08:39
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;181;P>31032;3;0,856;;;21/02/2013;08:41
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;181;P>25750;4;0,228;;;27/02/2013;11:20
ST QUENTIN;;Verre Couleur;2571;OMISSY;OMISSY;Déchetterie;181;P>31032;3;0,454;;;27/02/2013;11:21
ST QUENTIN;;Verre Couleur;2637;REMAUCOURT;REMAUCOURT;Rue de l'église;132;P>25753;3;0,743;;;06/02/2013;09:31
ST QUENTIN;;Verre Couleur;2659;ROUVROY;ROUVROY;Salle Polyvalente;186;P>26575;3;0,973;;;14/02/2013;07:53
ST QUENTIN;;Verre Couleur;2659;ROUVROY;ROUVROY;Route de ST Quentin;133;P>25769;3;0,851;;;21/02/2013;07:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN;Angle J Blanchot / L lemaire face crèche;195;P>33899;3;0,853;;;04/02/2013;12:00
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;St Quentin;Rue Francois Miterrand;24;P>29120;3;0,562;;;04/02/2013;11:14
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Av Faidherbe;27;P>25725;3;0,822;;;04/02/2013;09:37
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Bd Gambetta (face CIO);12;P>25719;3;0,651;;;04/02/2013;10:14
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Place de la Liberté;8;P>25716;3;0,567;;;04/02/2013;11:38
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Place du GI Floy;1;P>25711;3;0,755;;;04/02/2013;11:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Rue de Baudreuil;16;P>25722;3;0,666;;;04/02/2013;10:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN CENTRE;Rue des Cannonniers;142;P>25729;3;0,744;;;04/02/2013;11:26
