ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Angle rue collette (LIDL) Richepin FND;E-2 S / H-2 S;P>25643;3;0,877;;;10/05/2012;15:21
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Angle rue collette (LIDL) Richepin FND;E-2 S / H-2 S;P>25643;3;0,744;;;23/05/2012;08:20
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue Raoul Huguet;E-3 S / H-4 S;P>25645;3;0,693;;;18/05/2012;09:29
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue J Blanchot;E-3 S / H-4 S;P>25646;4;1,07;;;10/05/2012;15:09
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (NETTO);E-1 S / H-2 S;P>25648;4;0,882;;;03/05/2012;08:24
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Rue de la Fère (NETTO);E-1 S / H-2 S;P>25648;4;0,798;;;18/05/2012;09:11
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd Cordier;E-2 S / H-2 S;P>25650;3;0,893;;;18/05/2012;08:54
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd Cordier;E-2 S / H-2 S;P>25650;3;0,805;;;29/05/2012;07:05
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Bd du Dr Camille Guérin;E-2 S / H-3 S;P>25651;3;0,718;;;18/05/2012;08:48
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD EST;Chemin d'Itancourt;E-3 S / H-6 S;P>25652;3;0,909;;;31/05/2012;08:23
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Bd de Verdun;E-2 S / H-3 S;P>25654;4;1,027;;;10/05/2012;06:03
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Bd de Verdun;E-2 S / H-3 S;P>25654;4;0,892;;;23/05/2012;05:55
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Peronne mairie PORTEUR;2 sem;P>25657;3;0,731;;;07/05/2012;14:57
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Peronne mairie PORTEUR;2 sem;P>25657;3;0,715;;;21/05/2012;14:15
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Déchetterie (Rue A Parmentier) Vidam;E-2 S / H-3 S;P>25661;3;0,632;;;10/05/2012;06:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Déchetterie (Rue A Parmentier) Vidam;E-2 S / H-3 S;P>25661;3;0,86;;;22/05/2012;15:28
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Déchetterie (Rue A Parmentier) Vidam;E-2 S / H-3 S;P>25662;3;0,976;;;10/05/2012;06:27
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Déchetterie (Rue A Parmentier) Vidam;E-2 S / H-3 S;P>25662;3;0,717;;;22/05/2012;15:23
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Déchetterie (Rue A Parmentier) Vidam;E-2 S / H-3 S;P>25663;3;0,784;;;10/05/2012;06:28
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Déchetterie (Rue A Parmentier) Vidam;E-2 S / H-3 S;P>25663;3;0,754;;;22/05/2012;15:24
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de la Chaussée romaine (école);E-3 S / H-4 S;P>25664;4;0,932;;;18/05/2012;10:07
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Angle Av Me François Hugues/Accacias;E-1 S / H-2 S;P>25665;3;0,774;;;10/05/2012;06:08
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue du Dr Cordier/Allée des Tilleuls;E-2 S / H-3 S;P>25666;4;1,007;;;16/05/2012;06:33
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Chemin de la Tombelle/Rue de Ham;E-4 S / H-6 S;P>25667;3;0,732;;;31/05/2012;08:46
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Paris (ALDI);E-1 S / H-2 S;P>25668;3;0,527;;;03/05/2012;09:27
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Paris (ALDI);E-1 S / H-2 S;P>25668;3;0,512;;;16/05/2012;06:20
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Paris / Face au stade de foot;E-3 S / H-4 S;P>25669;3;0,581;;;03/05/2012;09:12
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Paris / Face au stade de foot;E-3 S / H-4 S;P>25669;3;0,611;;;23/05/2012;05:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue de Paris / Rue du Gle Debeney;E-3 S / H-4 S;P>25670;4;0,673;;;10/05/2012;05:55
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue Alexandre Dumas (park face ED);E-1 S / H-1 S;P>25671;3;0,729;;;03/05/2012;08:57
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue Alexandre Dumas (park face ED);E-1 S / H-1 S;P>25671;3;0,379;;;10/05/2012;06:40
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue Alexandre Dumas (park face ED);E-1 S / H-1 S;P>25671;3;0,685;;;22/05/2012;15:35
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue du Commandant Charcot;E-3 S / H-5 S;P>25672;3;0,763;;;31/05/2012;09:32
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Rue J Falloux (salle des aviateurs);E-3 S / H-5 S;P>25673;3;0,36;;;03/05/2012;09:18
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Grande Rue;E-2 S / H-3 S;P>25675;3;0,733;;;10/05/2012;05:48
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN SUD OUEST;Av du Cimetière de la Tombelle;E-2 S / H-3 S;P>25676;4;1,007;;;16/05/2012;06:28
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Place du 87 RI Rue Thiers;E-1 S / H-2 S;P>25677;3;0,826;;;16/05/2012;07:15
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Place du 87 RI Rue Thiers;E-1 S / H-2 S;P>25677;3;0,811;;;29/05/2012;08:30
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Théophile Gautier PORTEUR;3 sem;P>25678;4;0,508;;;14/05/2012;12:15
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Théophile Gautier PORTEUR;3 sem;P>25678;4;0,465;;;29/05/2012;08:36
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Av des anciens Combattants d'AFN;E-3 S / H-4 S;P>25679;4;0,876;;;23/05/2012;06:42
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Henriette Cabot;E-3 S / H-4 S;P>25681;3;0,622;;;25/05/2012;15:35
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Alfred Clin (hors Heures scolaires);2 sem;P>25682;3;0,691;;;07/05/2012;15:17
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Alfred Clin (hors Heures scolaires);2 sem;P>25682;3;0,706;;;21/05/2012;15:39
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;0,564;;;03/05/2012;07:14
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;0,871;;;11/05/2012;05:53
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;1,001;;;16/05/2012;07:39
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;0,696;;;23/05/2012;06:51
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25683;4;1,011;;;29/05/2012;08:45
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25684;4;0,946;;;03/05/2012;07:13
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25684;4;0,611;;;16/05/2012;07:41
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;CORA (parking);E-1 S / H-1 S;P>25684;4;0,829;;;29/05/2012;08:48
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue Fayet (angle R. JY Cousteau);E-3 S / H-3 S;P>25685;3;0,797;;;16/05/2012;06:57
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue de Champagne;E-3 S / H-6 S;P>25686;3;0,931;;;16/05/2012;07:03
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue des Valenciennes;E-1 S / H-2 S;P>25687;4;1,017;;;10/05/2012;08:14
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN NORD;Rue des Valenciennes;E-1 S / H-2 S;P>25687;4;0,489;;;23/05/2012;06:31
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;1 sem;P>25688;3;0,661;;;02/05/2012;16:16
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;1 sem;P>25688;3;0,306;;;07/05/2012;15:35
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;1 sem;P>25688;3;0,485;;;14/05/2012;12:10
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;1 sem;P>25688;3;0,491;;;21/05/2012;14:45
ST QUENTIN;;Verre Couleur;2691;ST QUENTIN;ST QUENTIN EST;Bvd Roosevelt PORTEUR;1 sem;P>25688;3;0,469;;;29/05/2012;10:30
